time,effector_velocity,contact_force
5.958333333333315,"[0.003405646513112145, -0.00015850579732477194]",0.397278620255867
5.962499999999982,"[0.003402733315207309, -0.00015823859494232522]",0.39730069702648974
5.966666666666648,"[0.003399823965534618, -0.00015797186643532932]",0.39732276484139784
5.970833333333315,"[0.003396918424654779, -0.0001577056093178958]",0.39734482361491774
5.974999999999981,"[0.0033940166535958156, -0.00015743982115634745]",0.3973668732473914
5.979166666666647,"[0.003391118682517405, -0.00015717450271122177]",0.3973888874289963
5.983333333333314,"[0.003388224403896231, -0.00015690964835756533]",0.39741091873127926
5.98749999999998,"[0.003385333848825313, -0.00015664525891925254]",0.3974329144059922
5.991666666666647,"[0.003382446979364623, -0.0001563813319978662]",0.39745490080545776
5.995833333333313,"[0.0033795638266881315, -0.0001561178684226427]",0.39747685161381785
5.99999999999998,"[0.003376684284262583, -0.0001558548626356545]",0.39749881939418524
6.004166666666646,"[0.003373808384183758, -0.00015559231549180474]",0.39752075142617704
6.008333333333312,"[0.003370936087782872, -0.00015533022459930006]",0.397542674683443
6.012499999999979,"[0.003368067360255607, -0.0001550685877307256]",0.39756458779044324
6.016666666666645,"[0.0033652021655203755, -0.0001548074026083493]",0.39758649131530366
6.020833333333312,"[0.0033623405349153357, -0.00015454667007540248]",0.39760835961114827
6.024999999999978,"[0.0033594824341052223, -0.00015428638793319512]",0.3976302177177274
6.029166666666645,"[0.003356627827472867, -0.00015402655394167381]",0.39765206619877197
6.033333333333311,"[0.0033537766781474316, -0.00015376716579950755]",0.39767390562032306
6.037499999999977,"[0.0033509289530748447, -0.00015350822139779323]",0.39769573460530694
6.041666666666644,"[0.0033480846849217646, -0.0001532497216359778]",0.3977175281766241
6.04583333333331,"[0.0033452438406304423, -0.00015299166441140404]",0.397739311358832
6.049999999999977,"[0.0033424063154848657, -0.00015273404433138]",0.3977611115560461
6.054166666666643,"[0.003339572132625637, -0.00015247710395401059]",0.3977827505398707
6.05833333333331,"[0.003336741177017065, -0.00015222084432550123]",0.39780440525729355
6.062499999999976,"[0.0033339138775010874, -0.00015196397527807702]",0.3978265716196541
6.0666666666666424,"[0.0033310897134907107, -0.0001517080886446853]",0.39784805842717713
6.070833333333309,"[0.0033282688409685046, -0.0001514526360527652]",0.3978697552807731
6.074999999999975,"[0.0033254512255416592, -0.00015119761527762404]",0.3978914427238119
6.079166666666642,"[0.003322636903618332, -0.00015094302733264045]",0.3979130938632072
6.083333333333308,"[0.0033198257737391866, -0.00015068886694850079]",0.39793476117548215
6.087499999999975,"[0.0033170178730966902, -0.00015043513520117706]",0.39795639203337274
6.091666666666641,"[0.0033142132506131412, -0.00015018159236202303]",0.3979781112237379
6.0958333333333075,"[0.0033114116249767433, -0.0001499289683056851]",0.39799951929568694
6.099999999999974,"[0.0033086132223094076, -0.00014967650859910018]",0.39802122381384314
6.10416666666664,"[0.0033058179919490346, -0.00014942447262505845]",0.39804278743548566
6.108333333333307,"[0.0033030258338767903, -0.00014917285524330623]",0.39806436697999287
6.112499999999973,"[0.0033002367867402656, -0.00014892165761728115]",0.39808590985612746
6.11666666666664,"[0.0032974508199880665, -0.00014867087777168742]",0.3981074423566119
6.120833333333306,"[0.0032946679721692295, -0.00014842051686931885]",0.39812893825881807
6.1249999999999725,"[0.003291888142233988, -0.00014817056976594752]",0.39815045062572996
6.129166666666639,"[0.003289111371151306, -0.00014792103774164322]",0.3981719256235956
6.133333333333305,"[0.0032863376289920263, -0.00014767191887763678]",0.3981933901705468
6.137499999999972,"[0.0032835668845303894, -0.00014742321121621058]",0.3982148448216407
6.141666666666638,"[0.0032807991102369784, -0.00014717491294665634]",0.398236288256131
6.145833333333305,"[0.0032780344264783557, -0.00014692678870842336]",0.39825779301203074
6.149999999999971,"[0.0032752725655183345, -0.00014667932568229324]",0.39827911231541835
6.1541666666666375,"[0.003272513657719108, -0.0001464322681087064]",0.39830049805137235
6.158333333333304,"[0.0032697576727326646, -0.00014618561422375547]",0.3983218737259835
6.16249999999997,"[0.003267004583883155, -0.00014593936241052334]",0.39834323802390276
6.166666666666637,"[0.003264254430288298, -0.00014569351398734933]",0.3983645660193576
6.170833333333303,"[0.0032615071147102026, -0.00014544806418341082]",0.39838590945877717
6.17499999999997,"[0.003258762680268493, -0.00014520301449341493]",0.39840721521746547
6.179166666666636,"[0.003256021097508612, -0.000144958363159971]",0.398428510811284
6.1833333333333025,"[0.003253282338976941, -0.00014471410852056991]",0.3984497955463496
6.187499999999969,"[0.0032505463455481526, -0.0001444705179009197]",0.3984709373091896
6.191666666666635,"[0.00324781332256, -0.00014422676717530713]",0.39849242226607606
6.195833333333302,"[0.0032450830122953793, -0.0001439837005891638]",0.39851353108386434
6.199999999999968,"[0.003242355486904828, -0.00014374102701750452]",0.3985347461234675
6.204166666666635,"[0.0032396307197458027, -0.000143498744841582]",0.39855595020176326
6.208333333333301,"[0.003236908753285207, -0.0001432568555045971]",0.39857711716272054
6.2124999999999675,"[0.0032341894919074884, -0.0001430153543129076]",0.3985982993494296
6.216666666666634,"[0.003231472978730635, -0.0001427742427375148]",0.39861944430290586
6.2208333333333,"[0.003228759187560292, -0.0001425335191757057]",0.39864057826355437
6.224999999999967,"[0.0032260480925239356, -0.00014229318203156402]",0.39866170117579935
6.229166666666633,"[0.0032233396680618723, -0.000142053229731359]",0.3986828129784405
6.2333333333333,"[0.003220633877908068, -0.00014181389871427267]",0.39870378999931616
6.237499999999966,"[0.003217930794087648, -0.00014157469558726964]",0.3987249825769509
6.2416666666666325,"[0.0032152303734160705, -0.0001413358771643013]",0.3987460344297781
6.245833333333299,"[0.003212532670497011, -0.0001410972070398813]",0.3987671726309345
6.249999999999965,"[0.0032098374924938704, -0.00014085917176518076]",0.39878809996697195
6.254166666666632,"[0.0032071448929351623, -0.00014062175233456081]",0.3988089952730988
6.258333333333298,"[0.0032044550238113883, -0.0001403842217381113]",0.39883020312453654
6.262499999999965,"[0.003201767674959796, -0.00014014732414764403]",0.39885107078185866
6.266666666666631,"[0.0031990828311513567, -0.00013991103754169344]",0.3988719325239938
6.2708333333332975,"[0.0031964007137867266, -0.0001396746387156793]",0.39889308031571935
6.274999999999964,"[0.0031937210335591026, -0.00013943910527518472]",0.3989137909654005
6.27916666666663,"[0.003191044031334034, -0.00013920345687311493]",0.3989349161685921
6.283333333333297,"[0.0031883694981041572, -0.0001389684364564111]",0.39895570155437604
6.287499999999963,"[0.003185697498645533, -0.00013873378814967773]",0.39897657811453235
6.29166666666663,"[0.0031830280077596107, -0.00013849951044678124]",0.398997443945442
6.295833333333296,"[0.003180361002163822, -0.0001382656019299352]",0.39901829837825
6.2999999999999625,"[0.003177696529299139, -0.0001380320642570894]",0.39903911470937303
6.304166666666629,"[0.0031750345639859298, -0.00013779889592016744]",0.39905992035786825
6.308333333333295,"[0.0031723750141194437, -0.0001375660925052257]",0.3990807406983406
6.312499999999962,"[0.0031697179968360107, -0.00013733365869252967]",0.39910149674944023
6.316666666666628,"[0.003167063418121657, -0.00013710158998559829]",0.3991222682026585
6.320833333333295,"[0.0031644112555530048, -0.00013686988499792777]",0.3991430281531171
6.324999999999961,"[0.003161761555824539, -0.00013663854534627]",0.39916375051542713
6.3291666666666275,"[0.0031591142962217995, -0.00013640756962062179]",0.3991844614837093
6.333333333333294,"[0.0031564694543010276, -0.00013617695644375298]",0.3992051609987169
6.33749999999996,"[0.003153827007894712, -0.00013594670444526565]",0.3992258490123744
6.341666666666627,"[0.003151186935107571, -0.00013571681226335285]",0.3992465254765221
6.345833333333293,"[0.0031485492831677775, -0.0001354872815244113]",0.3992671643198339
6.34999999999996,"[0.003145913961013042, -0.00013525810788457136]",0.3992878177385565
6.354166666666626,"[0.0031432810164071373, -0.00013502929300393649]",0.39930843343696076
6.3583333333332925,"[0.003140650427679074, -0.00013480083552503633]",0.39932903759847144
6.362499999999959,"[0.0031380222422844805, -0.00013457273707727455]",0.3993496041581843
6.366666666666625,"[0.003135396369365269, -0.00013434499334746722]",0.39937018529081353
6.370833333333292,"[0.0031327728569143167, -0.000134117605978049]",0.39939072873160786
6.374999999999958,"[0.0031301516130082447, -0.0001338905706258851]",0.3994112872382588
6.379166666666625,"[0.0031275326090381608, -0.00013366412127015313]",0.39943171079398093
6.383333333333291,"[0.0031249160572516125, -0.00013343777644306558]",0.3994522952336835
6.3874999999999575,"[0.003122301779487713, -0.00013321178415300126]",0.39947279245519046
6.391666666666624,"[0.0031196898258386858, -0.00013298614600996224]",0.3994932513929606
6.39583333333329,"[0.0031093046220094477, -0.0001640819558795005]",0.3853125349025948
6.399999999999957,"[0.00310576266121777, -0.00018147723529719447]",0.3898388511288103
6.404166666666623,"[0.0031116935182868262, -0.00017131976870966284]",0.4010892738734808
6.40833333333329,"[0.0031140162923634675, -0.0001714461148441405]",0.396949962135544
6.412499999999956,"[0.0031162961367324363, -0.00017157043839264577]",0.3969610579948537
6.4166666666666226,"[0.0031185335811849814, -0.0001716927416163794]",0.3969720382599345
6.420833333333289,"[0.0031207292197563147, -0.0001718130324724085]",0.3969828764835708
6.424999999999955,"[0.003122883500507453, -0.0001719313128404937]",0.39699362680938444
6.429166666666622,"[0.0031249968654601676, -0.00017204758607494816]",0.39700429002862964
6.433333333333288,"[0.003127069887264744, -0.00017216186441274266]",0.39701481458816007
6.437499999999955,"[0.0031291030643796095, -0.00017227415753257014]",0.3970252273057538
6.441666666666621,"[0.0031310968173613946, -0.00017238447223081482]",0.39703555659273454
6.445833333333288,"[0.0031330516310536425, -0.00017249282015024394]",0.3970457765321936
6.449999999999954,"[0.0031349679840114754, -0.00017259921378236578]",0.3970558881928897
6.45416666666662,"[0.003136846348607759, -0.0001727036663809777]",0.39706589265027764
6.458333333333287,"[0.0031386871911375, -0.00017280619187750885]",0.39707579098704116
6.462499999999953,"[0.003140490971920225, -0.00017290680479884303]",0.3970855842933012
6.46666666666662,"[0.003142258245471234, -0.00017300522881760001]",0.39709539468770816
6.470833333333286,"[0.003143989183126559, -0.00017310208177540596]",0.39710488011333
6.474999999999953,"[0.00314568433987566, -0.0001731970632214972]",0.39711439072742755
6.479166666666619,"[0.003147344220545482, -0.00017329019334142294]",0.3971237748817211
6.483333333333285,"[0.0031489691886005867, -0.00017338148512411537]",0.3971330855760913
6.487499999999952,"[0.003150559671182958, -0.00017347095562018954]",0.3971422975570204
6.491666666666618,"[0.0031521160900643986, -0.00017355862210813961]",0.39715141190872144
6.495833333333285,"[0.0031536387949807317, -0.0001736444983558719]",0.39716045527250055
6.499999999999951,"[0.0031551282647713634, -0.0001737286056803526]",0.39716937743288405
6.504166666666618,"[0.0031565849055690876, -0.00017381096178249343]",0.3971782052129096
6.508333333333284,"[0.0031580090501514523, -0.00017389158070601]",0.3971869658032805
6.51249999999995,"[0.0031594010969537532, -0.00017397048042536493]",0.39719563336283814
6.516666666666617,"[0.0031607615046817953, -0.00017404768257466658]",0.3972041839861442
6.520833333333283,"[0.003162090491266401, -0.00017412349268754288]",0.39721254956885427
6.52499999999995,"[0.0031633886495424104, -0.00017419732274223275]",0.3972210735127877
6.529166666666616,"[0.003164656245898486, -0.000174269507127381]",0.3972293820471319
6.533333333333283,"[0.003165893653310507, -0.0001743400635876109]",0.3972376033791013
6.537499999999949,"[0.0031671011733709242, -0.00017440900615709127]",0.397245764049866
6.5416666666666154,"[0.003168279237468493, -0.00017447635623182032]",0.3972538138097049
6.545833333333282,"[0.003169428204913062, -0.00017454213141740145]",0.3972617793793521
6.549999999999948,"[0.003170548463867988, -0.00017460605415618746]",0.39726980829012604
6.554166666666615,"[0.003171640223455, -0.00017466875167037265]",0.3972774810292209
6.558333333333281,"[0.003172703871203465, -0.0001747299210304123]",0.39728522632406604
6.562499999999948,"[0.0031737397513292723, -0.00017478957974089294]",0.39729289051861344
6.566666666666614,"[0.0031747482007884295, -0.00017484774504267588]",0.3973004757177143
6.5708333333332805,"[0.0031757296237163693, -0.0001749044379721345]",0.3973079556230777
6.574999999999947,"[0.003176684279695433, -0.0001749596716940512]",0.3973153847012903
6.579166666666613,"[0.0031776124964323854, -0.00017501346319355937]",0.3973227364430973
6.58333333333328,"[0.0031785144945549876, -0.00017506612056022238]",0.3973298919047274
6.587499999999946,"[0.0031793908345101405, -0.0001751167593115582]",0.39733736714680135
6.591666666666613,"[0.003180241479646957, -0.0001751666135990284]",0.39734424572672256
6.595833333333279,"[0.0031810671591160342, -0.00017521448566825445]",0.3973515481037917
6.5999999999999455,"[0.0031818678625559695, -0.00017526131432890678]",0.39735840172198256
6.604166666666612,"[0.0031826439327621173, -0.00017530679512718357]",0.39736533830133236
6.608333333333278,"[0.0031833957395924167, -0.00017535094783258098]",0.3973721774923324
6.612499999999945,"[0.0031841234087699693, -0.00017539407570316547]",0.3973788526181482
6.616666666666611,"[0.0031848276118105483, -0.00017543530080947698]",0.3973858012341849
6.620833333333278,"[0.0031855082487497123, -0.00017547555723809076]",0.39739233255792855
6.624999999999944,"[0.003186165784724948, -0.00017551454747578052]",0.3973988975768692
6.6291666666666105,"[0.003186800431285665, -0.00017555228277085343]",0.39740542281456465
6.633333333333277,"[0.003187412368651671, -0.0001755890695673461]",0.3974117606884128
6.637499999999943,"[0.0031880021795873854, -0.00017562402520979962]",0.3974184032999242
6.64166666666661,"[0.0031885698873631713, -0.00017565809072088282]",0.39742457920821883
6.645833333333276,"[0.0031891158011573455, -0.0001756909601345175]",0.3974308456395152
6.649999999999943,"[0.003189640184859081, -0.00017572264772365608]",0.3974370499527768
6.654166666666609,"[0.003190143302112798, -0.00017575316775018186]",0.3974431917759602
6.6583333333332755,"[0.003190625410376914, -0.00017578253415949743]",0.3974492729903366
6.662499999999942,"[0.003191086766931893, -0.00017581076090836365]",0.3974552931996656
6.666666666666608,"[0.0031915276229637158, -0.0001758378616155726]",0.39746125427498874
6.670833333333275,"[0.0031919482295479896, -0.00017586384992578303]",0.39746715579964237
6.674999999999941,"[0.0031923488317481094, -0.0001758887391455615]",0.39747299962617677
6.679166666666608,"[0.003192729606287195, -0.0001759125388367559]",0.39747881134320756
6.683333333333274,"[0.0031930908628586157, -0.00017593526590141276]",0.3974845399849491
6.6874999999999405,"[0.003193432837611725, -0.0001759569331832953]",0.3974902130222513
6.691666666666607,"[0.0031937557667551927, -0.0001759775535625553]",0.39749582999968075
6.695833333333273,"[0.0031940598806823313, -0.0001759971395834301]",0.39750139272440893
6.69999999999994,"[0.003194345341611442, -0.0001760157000494742]",0.39750692673606514
6.704166666666606,"[0.0031946124434526872, -0.00017603325102856873]",0.3975123816125047
6.708333333333273,"[0.003194861411164222, -0.00017604980480353887]",0.39751778307825003
6.712499999999939,"[0.0031950924654981444, -0.00017606537341824358]",0.3975231323425999
6.7166666666666055,"[0.0031953057547473122, -0.00017607996492557216]",0.3975284565885172
6.720833333333272,"[0.003195501564928451, -0.00017609359499841577]",0.39753370313338304
6.724999999999938,"[0.003195679939061697, -0.00017610656275431893]",0.3975388049385757
6.729166666666605,"[0.003195841466749236, -0.0001761179862490997]",0.39754419937575647
6.733333333333271,"[0.003195986037203348, -0.00017612879928872332]",0.39754916891467573
6.737499999999938,"[0.0031961138953535305, -0.00017613869260480982]",0.39755424417368973
6.741666666666604,"[0.0031962253143836424, -0.0001761476811829555]",0.3975592447703644
6.7458333333332705,"[0.003196320424621737, -0.0001761557721334944]",0.39756422454839957
6.749999999999937,"[0.003196399494332372, -0.0001761629801798625]",0.3975691308273488
6.754166666666603,"[0.0031964627187530048, -0.00017616931600907882]",0.3975739909086164
6.75833333333327,"[0.0031965102209810113, -0.00017617478633560456]",0.39757883186753074
6.762499999999936,"[0.003196542262130926, -0.00017617940549765547]",0.3975836010203205
6.766666666666603,"[0.0031965589620710456, -0.000176183180029921]",0.3975883515990608
6.770833333333269,"[0.0031965605743771823, -0.0001761861238574723]",0.39759303257307066
6.7749999999999355,"[0.0031965472158132276, -0.00017618824335358975]",0.39759769548685825
6.779166666666602,"[0.0031965190354830766, -0.00017618984354196739]",0.39760216891539174
6.783333333333268,"[0.003196476354481975, -0.0001761903245838638]",0.39760687343457324
6.787499999999935,"[0.0031964193093774696, -0.0001761900164743411]",0.39761138226459375
6.791666666666601,"[0.00319634800527598, -0.00017618892480473938]",0.3976158762364777
6.795833333333268,"[0.003196262685511749, -0.00017618706278495775]",0.39762030267644677
6.799999999999934,"[0.0031961635192548003, -0.00017618443956435]",0.39762468930904693
6.8041666666666005,"[0.0031960506081750535, -0.00017618106057679778]",0.39762906146104493
6.808333333333267,"[0.0031959241878847565, -0.000176176938665193]",0.39763336809495947
6.812499999999933,"[0.0031957843530727587, -0.0001761720788780953]",0.3976376623049783
6.8166666666666,"[0.003195631336755627, -0.00017616649394161543]",0.3976418913986527
6.820833333333266,"[0.003195465231055503, -0.00017616018878852634]",0.3976461084520096
6.824999999999933,"[0.0031952862621649715, -0.00017615317576857165]",0.39765026241797513
6.829166666666599,"[0.003195094588063667, -0.00017614546348396318]",0.39765437877876586
6.8333333333332655,"[0.0031948902936363606, -0.00017613705649239197]",0.3976584849936725
6.837499999999932,"[0.0031946736022144115, -0.0001761279670103276]",0.39766252838526
6.841666666666598,"[0.003194444664668301, -0.00017611820324834118]",0.3976665360561306
6.845833333333265,"[0.0031942035602839924, -0.00017610776948594393]",0.3976705348798342
6.849999999999931,"[0.0031939505068612987, -0.00017609667765147697]",0.3976744721881021
6.854166666666598,"[0.003193685648388285, -0.00017608493559338593]",0.39767837559590374
6.858333333333264,"[0.0031934090616223786, -0.00017607254745451335]",0.3976822703368505
6.8624999999999305,"[0.0031931209575924223, -0.00017605952480855935]",0.39768610536475946
6.866666666666597,"[0.0031928214750278072, -0.00017604587522525935]",0.397689907727703
6.870833333333263,"[0.0031925107538003125, -0.00017603160634680685]",0.39769367674629974
6.87499999999993,"[0.0031921888609234782, -0.0001760167218014155]",0.39769743978136995
6.879166666666596,"[0.0031918560020636616, -0.00017600123286722925]",0.3977011441785341
6.883333333333263,"[0.003191512410574031, -0.00017598485550592209]",0.3977049378743897
6.887499999999929,"[0.003191157908211304, -0.00017596849410653377]",0.39770833189677135
6.8916666666665956,"[0.0031907929447984053, -0.00017595123350020283]",0.3977120701704661
6.895833333333262,"[0.0031904175379841825, -0.00017593339723620646]",0.39771565083742183
6.899999999999928,"[0.0031900318162362902, -0.00017591499234393673]",0.3977192008438207
6.904166666666595,"[0.0031896359050517294, -0.00017589602567956745]",0.3977227210963518
6.908333333333261,"[0.003189229926993432, -0.0001758765039420675]",0.3977262124854191
6.912499999999928,"[0.0031888141058547606, -0.000175856142581162]",0.3977297952120617
6.916666666666594,"[0.0031883883525149013, -0.00017583555404691365]",0.397733101754224
6.920833333333261,"[0.003187952897368256, -0.00017581442851129876]",0.39773650702468294
6.924999999999927,"[0.003187507856992864, -0.00017579277250157326]",0.3977398847867913
6.929166666666593,"[0.003187053349348743, -0.00017577059261207595]",0.3977432343185736
6.93333333333326,"[0.0031865894895583636, -0.00017574789528226778]",0.39774655648663615
6.937499999999926,"[0.003186116458278327, -0.00017572469055104597]",0.39774982630880584
6.941666666666593,"[0.0031856343001111743, -0.00017570098093396534]",0.3977530949450882
6.945833333333259,"[0.003185143124649488, -0.00017567677253967594]",0.3977563377288871
6.949999999999926,"[0.003184643042942954, -0.00017565207153960962]",0.39775955392744505
6.954166666666592,"[0.003184134230230864, -0.00017562688765174542]",0.397762719074672
6.958333333333258,"[0.003183616725751797, -0.00017560122307150056]",0.39776588429823306
6.962499999999925,"[0.0031830906338113354, -0.00017557508359267973]",0.3977690249227364
6.966666666666591,"[0.0031825561285514486, -0.0001755484788541525]",0.39777211437460713
6.970833333333258,"[0.003182013242569579, -0.00017552141066942]",0.3977752058602457
6.974999999999924,"[0.0031814621474899694, -0.0001754938885318207]",0.3977782467751366
6.979166666666591,"[0.0031809028748039586, -0.00017546591420118554]",0.3977812897772828
6.983333333333257,"[0.003180335590903341, -0.0001754374968598821]",0.39778428385086
6.987499999999923,"[0.003179760394580504, -0.00017540864198215683]",0.39778725423837646
6.99166666666659,"[0.003179177312342024, -0.00017537935102863262]",0.3977902280856464
6.995833333333256,"[0.0031785865097853825, -0.00017534963314616092]",0.39779315280295935
6.999999999999923,"[0.0031779880794096113, -0.0001753194934395368]",0.3977960557188739
7.004166666666589,"[0.0031773821153389076, -0.00017528893710516582]",0.3977989360584271
7.008333333333256,"[0.003176768639469444, -0.00017525796535277824]",0.39780182092908983
7.012499999999922,"[0.003176147812846807, -0.00017522658705253474]",0.39780465776631346
7.0166666666665884,"[0.0031755197234689843, -0.00017519480707527298]",0.3978074738540914
